slug	name	snomed	icd10	system	kind
heat-exhaustion-heatstroke	Heat exhaustion and heatstroke	95868006	T67.5	unclassified	disorder
heat-rash-prickly-heat	Heat rash (prickly heat)	72658003	L74.0	skin	disorder
heavy-periods	Heavy periods	386692008	N92.0	unclassified	presentation
henoch-schonlein-purpura-hsp	Henoch-Schönlein purpura (HSP)	191306005	D69.0	cardiovascular	disorder
hepatitis	Hepatitis	128241005	K75.9	digestive	disorder
hepatitis-a	Hepatitis A	40468003	B15.9	infectious	disorder
hepatitis-b	Hepatitis B	66071002	B18.1	infectious	disorder
hepatitis-c	Hepatitis C	50711007	B18.2	infectious	disorder
hereditary-haemorrahagic-telangiectasia	Hereditary haemorrhagic telangiectasia (HHT)	21877004	I78.0	cardiovascular	disorder
hereditary-spastic-paraplegia	Hereditary spastic paraplegia	39912006	G11.4	neurological	disorder
herpes-simplex-eye-infections	Eye infection (herpes), see Herpes simplex eye infections	128351009	H44.0	infectious	disorder
herpetic-whitlow	Herpetic whitlow (whitlow finger)	43891009	B00.8	infectious	disorder
hiatus-hernia	Hernia (hiatus), see Hiatus hernia	84089009	K44.9	respiratory	disorder
hidradenitis-suppurativa	Hidradenitis suppurativa (HS)	59393003	L73.2	infectious	disorder
high-blood-pressure	Blood pressure (high), see High blood pressure	38341003		cardiovascular	disorder
high-blood-sugar-hyperglycaemia	High blood sugar (hyperglycaemia)	80394007	R73.9	unclassified	disorder
high-cholesterol	Cholesterol (high), see High cholesterol	13644009	E78.0	unclassified	disorder
hirschsprungs-disease	Hirschsprung's disease	204739008	Q43.1	neurological	disorder
hives	Hives	247472004	L50.9	unclassified	presentation
huntingtons-disease	Huntington's disease	58756001		mental-health	disorder
hydrocephalus	Hydrocephalus	230745008	G91.9	neurological	disorder
hydronephrosis	Hydronephrosis	43064006	N13.3	genitourinary	disorder
hyperacusis	Hyperacusis, see Noise sensitivity (hyperacusis)	25289003	H93.2	ear	disorder
hyperparathyroidism	Hyperparathyroidism	66999008	E21.3	endocrine	disorder
hypoparathyroidism	Hypoparathyroidism	36976004	E20.9	endocrine	disorder
hypothermia	Hypothermia	386689009		unclassified	presentation
ichthyosis	Ichthyosis	782957005	Q80.9	skin	disorder
idiopathic-pulmonary-fibrosis	Idiopathic pulmonary fibrosis	700250006	J84.1	respiratory	disorder
impetigo	Impetigo	48277006	L01.0	infectious	disorder
indigestion	Indigestion	162031009		unclassified	presentation
inflammatory-bowel-disease	IBD, see Inflammatory bowel disease	24526004	K52.9	digestive	disorder
ingrown-hairs	Ingrown hairs	9115004	L73.1	skin	disorder
ingrown-toenail	Ingrown toenail	400200009	L60.0	skin	disorder
insect-bites-and-stings	Insect bites and stings	276433004	T14.0	traumatic-or-injury	disorder
insomnia	Insomnia	193462001	G47.0	unclassified	disorder
iron-deficiency-anaemia	Anaemia (iron deficiency), see Iron deficiency anaemia	87522002	D50.9	unclassified	disorder
irritable-bowel-syndrome-ibs	Irritable bowel syndrome (IBS)	10743008	K58.9	digestive	disorder
japanese-encephalitis	Japanese encephalitis	52947006	A83.0	infectious	disorder
jaundice	Jaundice	18165001		unclassified	presentation
jaundice-in-babies	Jaundice in babies	18165001		unclassified	presentation
jet-lag	Jet lag	387604006		unclassified	presentation
kawasaki-disease	Kawasaki disease	75053002	M30.3	cardiovascular	disorder
keloid-scars	Keloid scars	33659008	L91.0	skin	disorder
keratosis-pilaris	Keratosis pilaris	5132005	Q82.8	skin	disorder
kidney-cancer	Kidney cancer	363518003		neoplasm	disorder
kidney-disease	Chronic kidney disease	709044004	N18.9	genitourinary	disorder
kidney-infection	Kidney infection	129128006	N15.9	infectious	disorder
kidney-stones	Kidney stones	95570007	N20.0	genitourinary	disorder
klinefelters-syndrome	Klinefelter syndrome	22053006	Q98.4	unclassified	disorder
knock-knees	Knock knees	299330008	M21.06	unclassified	presentation
kyphosis	Kyphosis	414564002	M40.29	musculoskeletal	disorder
labyrinthitis	Labyrinthitis and vestibular neuritis	1365751003	H81.2	neurological	disorder
lambert-eaton-myasthenic-syndrome	Lambert-Eaton myasthenic syndrome	56989000	G70.8	neurological	disorder
laryngeal-cancer	Laryngeal cancer	363429002	C32.9	neoplasm	disorder
laryngitis	Laryngitis	45913009	J04.0	respiratory	disorder
lazy-eye	Amblyopia, see Lazy eye	246623008	H53.0	unclassified	presentation
leg-ulcer	Leg ulcer, see Venous leg ulcer	95344007		unclassified	disorder
