slug	name	snomed	icd10	system	kind
phimosis	Foreskin problems, see Tight foreskin (phimosis)	198006006		unclassified	presentation
phlebitis	Phlebitis (superficial thrombophlebitis)	61599003	I80.9	cardiovascular	disorder
piles-haemorrhoids	Haemorrhoids, see Piles (haemorrhoids)	70153002	K64.9	cardiovascular	disorder
pilonidal-sinus	Pilonidal sinus	238496008	L05.9	unclassified	disorder
pityriasis-rosea	Pityriasis rosea	77252004		skin	disorder
pityriasis-versicolor	Pityriasis versicolor	56454009	B36.0	infectious	disorder
plantar-fasciitis	Plantar fasciitis	202882003	M72.27	musculoskeletal	disorder
pleurisy	Pleurisy	196075003	R09.1	respiratory	disorder
pmdd-premenstrual-dysphoric-disorder	PMDD (premenstrual dysphoric disorder)	596004	F38.8	mental-health	disorder
pneumonia	Pneumonia	233604007	J18.9	infectious	disorder
poisoning	Poisoning	75478009	T65.9	unclassified	disorder
polio	Polio	398102009	A80.9	infectious	disorder
polyhydramnios	Polyhydramnios (too much amniotic fluid)	86203003		unclassified	disorder
polymorphic-light-eruption	Polymorphic light eruption	238525001	L56.4	skin	disorder
polymyalgia-rheumatica	Polymyalgia rheumatica	65323003	M35.3	unclassified	disorder
pompholyx	Pompholyx (dyshidrotic eczema)	123698008	L30.1	skin	disorder
postural-tachycardia-syndrome	Postural orthostatic tachycardia syndrome, see Postural tachycardia syndrome (PoTS)	371073003	I95.1	cardiovascular	disorder
prader-willi-syndrome	Prader-Willi syndrome	89392001	Q87.1	neurological	disorder
pre-eclampsia	Pre-eclampsia	398254007	O14.9	cardiovascular	disorder
pre-menstrual-syndrome	PMS (premenstrual syndrome)	82639001	N94.3	unclassified	disorder
primary-biliary-cholangitis-pbc	Primary biliary cholangitis (primary biliary cirrhosis)	31712002	K74.3	digestive	disorder
progressive-supranuclear-palsy-psp	Progressive supranuclear palsy	192976002	G23.1	neurological	disorder
prostate-cancer	Prostate cancer	399068003		neoplasm	disorder
prostatitis	Prostatitis	9713002	N41.9	genitourinary	disorder
psoriasis	Psoriasis	9014002	L40.9	skin	disorder
psoriatic-arthritis	Psoriatic arthritis	156370009	L40.5	musculoskeletal	disorder
pubic-lice	Pubic lice	71011005	B85.3	infectious	disorder
pudendal-neuralgia	Pudendal neuralgia	427972000	G58.8	unclassified	presentation
pulmonary-embolism	Pulmonary embolism	59282003	I26.9	cardiovascular	disorder
pulmonary-hypertension	Pulmonary hypertension	70995007	I27.2	cardiovascular	disorder
pyoderma-gangrenosum	Pyoderma gangrenosum	74578003		skin	disorder
q-fever	Q fever	186788009		infectious	disorder
rabies	Rabies	14168008	A82.9	infectious	disorder
reactive-arthritis	Reactive arthritis	201736002	M02.99	musculoskeletal	disorder
repetitive-strain-injury-rsi	Repetitive strain injury (RSI)	788465007	M70.99	unclassified	disorder
respiratory-tract-infection	Respiratory tract infections (RTIs)	275498002	J98.8	infectious	disorder
restless-legs-syndrome	Restless legs syndrome	32914008	G25.8	unclassified	disorder
retinal-ocular-migraine	Ocular migraine, see Retinal (ocular) migraine	79267007	G43.8	cardiovascular	disorder
retinoblastoma	Eye cancer in children, see Retinoblastoma	370967009	C69.2	neoplasm	disorder
rett-syndrome	Rett syndrome	68618008	F84.2	mental-health	disorder
reyes-syndrome	Reye's syndrome	74351001	G93.7	neurological	disorder
rheumatic-fever	Rheumatic fever	58718002		unclassified	disorder
rheumatoid-arthritis	Rheumatoid arthritis	69896004	M06.99	musculoskeletal	disorder
rickets-and-osteomalacia	Osteomalacia, see Rickets and osteomalacia	4598005	M83.99	musculoskeletal	disorder
ringworm	Ringworm	47382004	B35.9	infectious	disorder
rosacea	Rosacea	398909004	L71.9	unclassified	disorder
rubella	German measles, see Rubella (german measles)	36653000	B06.9	infectious	disorder
salivary-gland-stones	Salivary gland stones	28826002	K11.5	digestive	disorder
sarcoidosis	Sarcoidosis	31541009	D86.9	unclassified	disorder
scarlet-fever	Scarlet fever	30242009		infectious	disorder
scars	Scars	275322007	L90.5	unclassified	disorder
schistosomiasis	Bilharzia, see Schistosomiasis (bilharzia)	10087007	B65.9	infectious	disorder
sciatica	Sciatica	23056005	M54.39	neurological	disorder
scleroderma	Scleroderma	267874003	M34.9	unclassified	disorder
scoliosis	Scoliosis	298382003	M41.99	musculoskeletal	disorder
scurvy	Scurvy	76169001		unclassified	disorder
sepsis	Sepsis	91302008	A41.9	unclassified	disorder
septic-arthritis	Septic arthritis	396234004	M00.99	infectious	disorder
shin-splints	Shin splints	1290771001	T79.6	musculoskeletal	disorder
shingles	Shingles	4740000	B02.9	infectious	disorder
short-sightedness	Myopia, see Short-sightedness (myopia)	57190000	H52.1	eye	disorder
sick-building-syndrome	Sick building syndrome	19076009	J67.9	respiratory	disorder
sickle-cell-disease	Sickle cell disease	417357006	D57.1	unclassified	disorder
silicosis	Silicosis	805002	J62.8	respiratory	disorder
sinusitis-sinus-infection	Sinusitis (sinus infection)	36971009	J32.9	respiratory	disorder
sjogrens-syndrome	Sjögren's syndrome	83901003	M35.0	unclassified	disorder
skin-abscess	Skin abscess	31928004	L02.9	unclassified	disorder
skin-tags	Skin tags	201091002	L91.8	neoplasm	disorder
slapped-cheek-syndrome	Slapped cheek syndrome	34730008	B08.3	infectious	disorder
sleep-apnoea	Sleep apnoea	73430006	G47.3	respiratory	disorder
sleep-paralysis	Sleep paralysis	277180005	G47.8	unclassified	disorder
sleepwalking	Sleepwalking	80495009	F51.3	neurological	disorder
slipped-disc	Slipped disc	73589001	M51.2	musculoskeletal	disorder
spina-bifida	Spina bifida	67531005	Q05.9	neurological	disorder
spinal-muscular-atrophy-sma	Spinal muscular atrophy (SMA)	5262007	G12.9	neurological	disorder
spondylolisthesis	Spondylolisthesis	274152003	M43.19	musculoskeletal	disorder
squint	Squint	22066006	H50.9	eye	disorder
stammering	Stammering	39423001	F98.5	unclassified	presentation
stevens-johnson-syndrome	Stevens-Johnson syndrome	73442001	L51.1	skin	disorder
stillbirth	Stillbirth	237364002		unclassified	presentation
stomach-cancer	Stomach cancer	363349007	C16.9	neoplasm	disorder
stomach-ulcer	Peptic ulcer, see Stomach ulcer	397825006	K25.9	digestive	disorder
stretch-marks	Stretch marks	201067006	L90.6	skin	disorder
stroke	Stroke	230690007		cardiovascular	disorder
stye	Stye	1489008	H00.0	eye	disorder
subarachnoid-haemorrhage	Brain haemorrhage, see Subarachnoid haemorrhage	21454007	I60.9	neurological	disorder
sunburn	Sunburn	403194002	L55.0	skin	disorder
supraventricular-tachycardia-svt	Supraventricular tachycardia (SVT)	6456007	I47.1	cardiovascular	disorder
swollen-arms-and-hands-oedema	Swollen arms and hands (oedema)	267038008	R60.9	unclassified	presentation
syphilis	Syphilis	76272004	A53.9	infectious	disorder
temporal-arteritis	Giant cell arteritis, see Temporal arteritis	400130008	M31.6	cardiovascular	disorder
temporomandibular-disorder-tmd	Jaw pain, see Temporomandibular disorder (TMD)	274667000	K10.8	unclassified	presentation
tendonitis	Tendonitis	34840004	M77.99	musculoskeletal	disorder
tennis-elbow	Tennis elbow	202855006	M77.1	musculoskeletal	disorder
tension-headaches	Headaches (tension-type), see Tension headaches	398057008	G44.2	unclassified	disorder
tetanus	Tetanus	76902006		infectious	disorder
thalassaemia	Thalassaemia	40108008	D56.9	unclassified	disorder
thoracic-outlet-syndrome	Thoracic outlet syndrome	128210009	G54.0	unclassified	disorder
thrombophilia	Thrombophilia	234467004	D68.6	unclassified	disorder
thyroid-cancer	Thyroid cancer	363478007		neoplasm	disorder
tics	Tics	386783003	F95.9	unclassified	presentation
tinnitus	Tinnitus	60862001	H93.1	unclassified	presentation
tongue-tie	Tongue-tie	67787004	Q38.1	digestive	disorder
tonsillitis	Quinsy, see Tonsillitis	90176007	J03.9	respiratory	disorder
tooth-decay	Tooth decay	80967001	K02.9	infectious	disorder
toxic-shock-syndrome	Toxic shock syndrome	18504008	A48.3	unclassified	disorder
toxocariasis	Toxocariasis	406619001	B83.0	infectious	disorder
toxoplasmosis	Toxoplasmosis	187192000	B58.9	infectious	disorder
transient-ischaemic-attack-tia	TIA, see Transient ischaemic attack (TIA)	266257000	G45.9	cardiovascular	disorder
trichomoniasis	Trichomoniasis	56335008	A59.9	infectious	disorder
trigeminal-neuralgia	Trigeminal neuralgia	31681005	G50.0	neurological	disorder
trigger-finger	Trigger finger	1539003	M65.3	musculoskeletal	disorder
tuberculosis-tb	TB, see Tuberculosis (TB)	56717001	A16.9	infectious	disorder
turner-syndrome	Turner syndrome	38804009	Q96.9	unclassified	disorder
typhoid-fever	Typhoid fever	4834000	A01.0	infectious	disorder
typhus	Typhus	240613006	A75.9	infectious	disorder
ulcerative-colitis	Ulcerative colitis	64766004	K51.9	digestive	disorder
umbilical-hernia	Hernia (umbilical), see Umbilical hernia	396347007	K42.9	unclassified	disorder
underactive-thyroid-hypothyroidism	Hypothyroidism, see Underactive thyroid (hypothyroidism)	40930008	E03.9	endocrine	disorder
undescended-testicles	Undescended testicles	204878001	Q53.9	genitourinary	disorder
urethritis	Urethritis	31822004	N34.2	genitourinary	disorder
urinary-incontinence	Incontinence (urinary), see Urinary incontinence	165232002		unclassified	presentation
urinary-tract-infections-utis	Cystitis, see Urinary tract infections (UTIs)	38822007	N30.9	genitourinary	disorder
uveitis	Uveitis	128473001	H20.9	eye	disorder
vaginitis	Vaginitis	30800001	N76.0	genitourinary	disorder
varicose-eczema	Eczema (varicose), see Varicose eczema	366362000	I83.1	skin	disorder
varicose-veins	Varicose veins	128060009	I83.9	cardiovascular	disorder
vascular-dementia	Dementia (vascular), see Vascular dementia	429998004	F01.9	mental-health	disorder
vasculitis	Vasculitis	31996006	I77.6	cardiovascular	disorder
vertigo	Vertigo	399153001		unclassified	presentation
vitamin-b12-or-folate-deficiency-anaemia	Anaemia (vitamin B12 or folate deficiency), see Vitamin B12 or folate deficiency anaemia	271737000	D64.9	unclassified	disorder
vitiligo	Vitiligo	56727007		skin	disorder
von-willebrand-disease	Von Willebrand disease	128105004	D68.0	unclassified	disorder
vulvodynia	Vaginal pain, see Vulvodynia (vulval pain)	238968009	N94.8	genitourinary	disorder
warts-and-verrucas	Verrucas, see Warts and verrucas	1296960002		infectious	disorder
whooping-cough	Whooping cough	27836007	A37.0	infectious	disorder
wolff-parkinson-white-syndrome	Wolff-Parkinson-White syndrome	74390002	I45.6	cardiovascular	disorder
yellow-fever	Yellow fever	16541001	A95.9	infectious	disorder
