condition	symptom_id
balanitis	188
balanitis	244
balanitis	257
balanitis	258
balanitis	259
balanitis	260
balanitis	261
bells-palsy	262
bells-palsy	263
bells-palsy	264
bells-palsy	265
bile-duct-cancer	37
bile-duct-cancer	40
bile-duct-cancer	41
bile-duct-cancer	49
bile-duct-cancer	54
bile-duct-cancer	160
bile-duct-cancer	248
bile-duct-cancer	266
bile-duct-cancer	267
bladder-cancer	54
bladder-cancer	57
bladder-cancer	71
bladder-cancer	160
bladder-cancer	233
bladder-cancer	244
bladder-cancer	268
bladder-stones	160
bladder-stones	233
bladder-stones	244
bladder-stones	269
bladder-stones	270
blepharitis	100
blepharitis	271
blepharitis	272
blepharitis	273
blepharitis	274
bone-cancer	57
bone-cancer	268
bone-cancer	275
bone-cancer	276
bone-cancer	277
bone-cancer	278
bone-cancer	279
bone-cyst	279
bone-cyst	280
bone-cyst	281
botulism	239
botulism	263
botulism	282
botulism	283
botulism	284
botulism	285
botulism	286
botulism	287
botulism	288
botulism	289
botulism	290
bowel-incontinence	291
bowel-incontinence	292
bowel-incontinence	293
bowel-incontinence	294
bowel-polyps	57
bowel-polyps	123
bowel-polyps	295
bowel-polyps	296
brain-abscess	19
brain-abscess	37
brain-abscess	38
brain-abscess	39
brain-abscess	89
brain-abscess	297
brain-abscess	298
brain-abscess	299
brain-abscess	300
brain-aneurysm	19
brain-aneurysm	72
brain-aneurysm	183
brain-aneurysm	262
brain-aneurysm	300
brain-aneurysm	301
brain-aneurysm	302
brain-aneurysm	303
brain-tumours	89
brain-tumours	304
brain-tumours	305
brain-tumours	306
brain-tumours	307
breast-cancer-in-men	24
breast-cancer-in-men	40
breast-cancer-in-men	49
breast-cancer-in-men	54
breast-cancer-in-men	275
breast-cancer-in-men	308
breast-cancer-in-men	309
breast-cancer-in-men	310
breast-cancer-in-men	311
breast-cancer-in-men	312
broken-hip	313
broken-hip	314
broken-hip	315
broken-hip	316
broken-leg	317
broken-leg	318
broken-leg	319
broken-leg	320
broken-leg	321
broken-nose	317
broken-nose	322
broken-nose	323
broken-nose	324
broken-toe	145
broken-toe	317
broken-toe	325
bronchiectasis	7
bronchiectasis	54
bronchiectasis	64
bronchiectasis	101
bronchiectasis	147
bronchiectasis	169
bronchiectasis	171
bronchiectasis	326
bronchiectasis	327
bronchiolitis	12
bronchiolitis	101
bronchiolitis	327
bronchiolitis	328
bronchiolitis	329
bronchiolitis	330
bronchitis	37
bronchitis	64
bronchitis	171
bronchitis	331
bronchitis	332
bronchitis	333
brucellosis	37
brucellosis	40
brucellosis	54
brucellosis	141
brugada-syndrome	18
brugada-syndrome	64
brugada-syndrome	165
brugada-syndrome	166
brugada-syndrome	334
brugada-syndrome	335
